name,rating,pieces,minifigs,ownthisset
Brick Bank,4.7,2380,5,15566  
Volkswagen Beetle,4.7,1167,,10000  
Big Ben,5.0,4163,,5156  
Winter Holiday Train,4.7,734,5,12291  
XL Creative Brick Box,,1600,,745  
Creative Building Set,4.0,583,,1349  
Creative Building Basket,,1000,,525  
Police Helicopter Chase,5.0,63,2,1147  
Iron Man vs. Loki,4.7,66,2,2223  
Snake Showdown,4.0,92,2,847  
Ariel's Dolphin Carriage,,70,1,959  
Batman & Superman vs. Lex Luthor,5.0,164,3,1833  
Lost Temple,,172,3,564  
Stephanie's Horse Carriage,,58,1,548  
Emma's Ice Cream Truck,,136,2,690  
Mia's Vet Clinic,,173,2,463  
Cinderella's Carriage,4.0,116,2,763  
Baby Animals,,13,,769  
Savanna,,18,1,306  
Arctic,,40,2,755  
Jungle,,86,2,318  
Around the World,,163,5,592  
Horses,,20,1,161  
Horse Trailer,,15,2,190  
Little Plane,,13,1,573  
Police Patrol,,15,2,401  
Push Train,,45,2,514  
Backhoe Loader,,19,1,533  
Truck & Tracked Excavator,,28,2,934  
Big Construction Site,,67,3,380  
Tow Truck,,28,2,190  
My First Rocket,,18,,326  
My First Cars and Trucks,5.0,36,,530  
Creative Chest,,70,,142  
My First Truck,,29,2,484  
My First Garden,,25,2,317  
Creative Construction Basket,,110,2,63  
Sofia the First Magical Carriage,,30,1,136  
Miles' Space Adventures,,23,1,192  
Miles' Exo-Flex Suit,5.0,37,1,132  
Miles' Stellosphere Hangar,,44,1,175  
Mickey & Friends Beach House,,48,3,402  
Doc McStuffins' Pet Vet Care,,30,1,123  
Mickey's Workshop,,18,1,226  
Minnie's Café,,27,1,295  
My First Caterpillar,,19,,227  
City: Build Your Own Adventure parts,,92,1,113  
LEGO Star Wars: Build Your Own Adventure,4.0,73,1,441  
Venice,4.0,212,,4544  
Berlin,4.3,289,,4632  
New York City,4.3,598,,6385  
Buckingham Palace,4.0,780,,4767  
United States Capitol Building,4.3,1032,,4346  
Burj Khalifa,4.0,333,,2691  
The Iron Golem,4.0,208,2,2710  
The End Portal,3.0,559,3,1234  
The Jungle Tree House,4.5,706,4,1328  
The Wither,5.0,318,3,1405  
The Fortress,3.0,984,4,960  
The Village,4.0,1600,8,651  
Maze,5.0,769,,3787  
The Beatles Yellow Submarine,4.3,553,5,8969  
Caterham Seven 620R,5.0,771,,5857  
First Order Star Destroyer,3.8,56,,2596  
Poe's X-wing Fighter,4.5,64,,7220  
Kylo Ren's Command Shuttle,3.7,43,,4196  
Duck,,4,,423  
Wildlife {Random bag},,7,,51  
Wildlife - Polar Bear,,,,90  
Wildlife - Penguin,,,,96  
Wildlife - Tortoise,,,,88  
Wildlife - Lion Cub,,,,73  
Wildlife - Elephant,,,,103  
Prison Island Helicopter,3.5,46,1,2017  
Fire Car,5.0,53,1,2313  
Mini Dumper,4.0,45,1,1875  
Sports Car,4.0,47,1,3020  
Volcano Jackhammer,4.5,53,1,1490  
Knight's Cycle,3.0,42,1,2500  
Robin's Mini Fortrex,4.7,45,1,3693  
Knighton Hyper Cannon,,47,1,1093  
The Lava Slinger,4.0,40,1,1749  
Sira's Adventurous Airglider,,24,1,774  
Cupcake Stall,,28,1,1553  
Olaf's Summertime Fun,4.5,48,1,4243  
Adventure Camp Bridge,3.5,37,1,885  
Bowling Alley,3.0,51,1,1541  
Skybound Plane,4.5,30,1,2233  
Kai's Mini Dragon,4.4,39,1,5031  
Anchor-Jet,,38,1,427  
WU-CRU Training Dojo,,43,2,677  
The Batmobile,4.0,63,,3124  
Captain America's Motorcycle ,4.0,25,1,4404  
Spider-Man vs. The Venom Symbiote,4.7,49,1,2179  
Helicopter,4.0,47,,964  
Parrot,,43,,4231  
Racer,,30,1,729  
Reindeer,5.0,77,,2486  
Scooby-Doo,2.5,2,,956  
First Order Stormtrooper,5.0,7,1,5041  
Batman Classic TV Series - Mr. Freeze,4.5,16,1,4856  
Cosmic Boy,3.5,7,1,2311  
Finn (FN-2187),3.0,5,1,3868  
Nightwing,3.0,6,1,2379  
Desert Racers,3.0,65,,2607  
Construction Vehicles,5.0,64,,2522  
Super Soarer,4.0,100,,2521  
Chopper Transporter,5.0,124,,1851  
Park Animals,4.0,202,,3212  
Ocean Explorer,5.0,213,,2968  
Fast Car,4.3,222,,1805  
Propeller Plane,4.5,230,,2479  
Lakeside Lodge,4.8,368,1,6816  
Twin Spin Helicopter,,326,,1028  
Corner Deli,4.8,467,2,8498  
Lighthouse Point,5.0,528,2,5013  
Vacation Getaways,5.0,792,2,6934  
Treehouse Adventures,5.0,387,2,3317  
Space Shuttle (Uniqlo edition),,,,50  
Robot (Uniqlo edition),,,,52  
Koala (Uniqlo edition),,,,44  
Parrot (Uniqlo edition),,,,56  
What am I?,,536,16,1523  
Minifigure Wedding Favour Set,5.0,89,2,4246  
LEGOLAND Train,5.0,210,4,2437  
My First Set,,10,,314  
Personalised Mosaic Portrait,3.0,,,271  
Valentine's Cupid Dog,,150,,2280  
Easter Chick,,111,,2653  
Vampire and Bat,5.0,150,,2813  
Pilgrim's Feast,3.0,163,,1783  
Little Elf Helpers,,238,,2227  
LEGO Santa,,155,,3791  
Year of the Monkey,,165,,790  
Polar Bear,,40,,458  
Snowmobile,,26,,382  
Bunny,,49,,443  
Bee,,34,,432  
Hedgehog,,39,,507  
Seaplane,,24,,364  
Frog,5.0,60,,416  
Apple,,58,,453  
School Bus,,65,,399  
Werewolf,,52,,388  
Fox,,39,,408  
Christmas Present,,55,,402  
London Bus,4.8,118,,9519  
Fountain,4.8,105,2,7191  
Christmas Build-Up,2.8,250,,6011  
Snowglobe,4.8,215,1,8184  
Rio 2016 Mascots,4.0,197,,200  
Birthday Buddy,,133,,173  
MSC Meraviglia,,180,,246  
Geoffrey & Friends,4.0,133,2,2908  
Rapunzel's Best Day Ever,,145,1,1062  
Anna & Kristoff's Sleigh Adventure,,174,2,2978  
Belle's Enchanted Castle,4.0,374,8,2218  
Arendelle Castle Celebration,,477,6,2577  
Treasure's Day at the Pool,3.0,70,,1169  
Birthday Party,,191,1,1287  
Party Train,,109,1,2178  
Party Cakes,,50,,2444  
Party Gift Shop,,52,,1942  
Party Styling,,54,,1629  
Emma's Creative Workshop,4.0,108,1,1679  
Olivia's Exploration Car,,185,1,1753  
Pop Star TV Studio,4.0,194,1,1061  
Heartlake Supermarket,5.0,313,2,2432  
Heartlake Cupcake Cafe,5.0,439,2,2094  
Adventure Camp Archery,4.0,114,1,1593  
Adventure Camp Rafting,5.0,320,2,1313  
Adventure Camp Tree House,5.0,726,3,1625  
Foal's Washing Station,,77,1,1156  
Heartlake Puppy Daycare,,286,2,1127  
Horse Vet Trailer,,370,2,1207  
Heartlake Riding Club,,575,2,1254  
Amusement Park Arcade,5.0,174,1,2475  
Amusement Park Space Ride,5.0,195,1,2685  
Amusement Park Hot Dog Van,3.5,243,2,3924  
Amusement Park Roller Coaster,4.5,1124,4,2877  
Friends Advent Calendar,4.0,218,2,1306  
Heartlake Party Shop,,176,2,573  
Amusement Park Bumper Cars,4.0,424,2,1733  
Heartlake Performance School,3.0,774,3,706  
Livi's Pop Star House,4.0,597,2,1461  
Daisy's Beauty Salon,,98,,863  
Pumpkin's Royal Carriage,3.0,79,,905  
Palace Pets Royal Castle,,186,,868  
Emily Jones & the Baby Wind Dragon,3.5,80,1,2256  
The Water Dragon Adventure,4.0,212,1,3029  
Elvendale School of Dragons,,230,1,1659  
